,english_words,roman_sindhi_words,Senti_Score,Subjectivity,Sentiment
0,amplify,izafo krn,0.0,0.0,Do Not Know
1,anger,gso,-0.7,0.2,Negative
2,anger,guso,-0.7,0.2,Negative
3,anger,kawar,-0.7,0.2,Negative
4,anger,kawr,-0.7,0.2,Negative
5,anxious,muntazir,-0.25,1.0,Negative
6,anxious,sheedaee,-0.25,1.0,Negative
7,anxious,sheedai,-0.25,1.0,Negative
8,appropriate,munaasib,0.5,0.5,Positive
9,artificial,masnooe,-0.6,1.0,Negative
10,artificial,msnooe,-0.6,1.0,Negative
11,artificial,naklee,-0.6,1.0,Negative
12,artificial,naklee,-0.6,1.0,Negative
13,artificial,nakli,-0.6,1.0,Negative
14,artificial,nakli,-0.6,1.0,Negative
15,artificial,nklee,-0.6,1.0,Negative
16,artificial,nklee,-0.6,1.0,Negative
17,artificial,nkli,-0.6,1.0,Negative
18,augment,izafo krn,0.0,0.0,Do Not Know
19,aware,ba shaoor,0.25,0.25,Positive
20,aware,baashaoor,0.25,0.25,Positive
21,aware,ba-shaoor,0.25,0.25,Positive
22,bad,bchraee,-0.7,0.667,Negative
23,bad,buchhraee,-0.7,0.667,Negative
24,bad,buchhrai,-0.7,0.667,Negative
25,bad,buchhro,-0.7,0.667,Negative
26,bad,buchhro,-0.7,0.667,Negative
27,bad,buro,-0.7,0.667,Negative
28,bad,burrai,-0.7,0.667,Negative
29,bad,burro,-0.7,0.667,Negative
30,bad,kharaab,-0.7,0.667,Negative
31,bad,kharab,-0.7,0.667,Negative
32,bad,kharab,-0.7,0.667,Negative
33,bad,khrab,-0.7,0.667,Negative
34,bad,kino,-0.7,0.667,Negative
35,bad,kino,-0.7,0.667,Negative
36,bad,knno,-0.7,0.667,Negative
37,bad,kno,-0.7,0.667,Negative
38,bad,mathae,-0.7,0.667,Negative
39,be useful,faedemand,0.3,0.0,Positive
40,beautiful,khbsorat,0.85,1.0,Positive
41,beautiful,khobsoorat,0.85,1.0,Positive
42,beautiful,khoobsoorat,0.85,1.0,Positive
43,beautiful,khoobsorat,0.85,1.0,Positive
44,beautiful,sohni,0.85,1.0,Positive
45,beautiful,suhnee,0.85,1.0,Positive
46,beautiful,suhnee,0.85,1.0,Positive
47,beautiful,suhni,0.85,1.0,Positive
48,beneficial,faedemand,0.0,0.0,Do Not Know
49,benefit,faedo,0.0,0.0,Do Not Know
50,best,bhale me bhalo,1.0,0.3,Positive
51,better,behter,0.5,0.5,Positive
52,better,behtr,0.5,0.5,Positive
